identifier;volume max(M.m3/an)
Unit #ZY000149H;2016
Unit #ZX001411O;4798
Unit #ZX001045V;5815
Unit #ZX000822V;6754
Unit #ZX000643Q;5135
Unit #ZX000612S;3718
Unit #ZW001305C;6525
Unit #ZW000760D;7876
Unit #ZV000732F;5403
Unit #ZV000479X;2139
Unit #ZU001205Z;6190
Unit #ZU000743R;2766
Unit #ZU000699N;2175
Unit #ZU000631L;5232
Unit #ZU000496Y;10845
Unit #ZU000451S;1130
Unit #ZT000244J;6057
Unit #ZT000163N;1814
Unit #ZR001568N;4153
Unit #ZR000989J;9355
Unit #ZR000897V;3402
Unit #ZR000559A;9069
Unit #ZR000106J;1107
Unit #ZQ001620X;5634
Unit #ZQ001440I;2671
Unit #ZQ001323Y;1686
Unit #ZQ001322A;2474
Unit #ZP000295F;3398
Unit #ZO001404T;7078
Unit #ZO001315X;5536
Unit #ZO000705Q;7176
Unit #ZO000448F;3849
Unit #ZO000194O;4599
Unit #ZM001526O;9914
Unit #ZM001207E;7917
Unit #ZM001202O;8792
Unit #ZM000467G;1513
Unit #ZM000005X;1608
Unit #ZL001209T;6133
Unit #ZL001133N;1803
Unit #ZL000958N;7142
Unit #ZL000314D;3592
Unit #ZK001444K;6777
Unit #ZJ000013U;4725
Unit #ZI001301G;4437
Unit #ZI000086P;7285
Unit #ZH000466Z;1852
Unit #ZF000718W;4074
Unit #ZF000554P;7814
Unit #ZF000532E;5560
Unit #ZE001424V;6679
Unit #ZE000363O;1160
Unit #ZE000185V;3670
Unit #ZD000547E;1547
Unit #ZC000903L;7294
Unit #ZC000078P;1243
Unit #ZB000329P;1304
Unit #ZA000615K;7948
Unit #ZA000147T;1275
Unit #ZA000066R;4721
Unit #YZ001113P;4577
Unit #YZ000914E;5753
Unit #YZ000339J;2998
Unit #YY001343V;1780
Unit #YY000853D;5282
Unit #YX001590I;2164
Unit #YX000771I;7705
Unit #YX000653W;6776
Unit #YX000321I;9085
Unit #YW001413Q;7790
Unit #YV001313G;9526
Unit #YU001422U;3266
Unit #YU001358O;5301
Unit #YU001296K;6578
Unit #YT001183A;4031
Unit #YS000591S;7800
Unit #YR001269F;3687
Unit #YR000568V;1174
Unit #YQ001197H;1300
Unit #YQ001129B;5622
Unit #YO000328H;2673
Unit #YN001633J;4235
Unit #YN001560A;5120
Unit #YN001449R;6858
Unit #YN001127B;4345
Unit #YN000951I;6606
Unit #YM000639V;6673
Unit #YM000131A;6410
Unit #YL000795N;9879
Unit #YL000580A;4930
Unit #YL000115P;1284
Unit #YK001022R;7141
Unit #YK000370C;5492
Unit #YJ000671T;6263
Unit #YH001498D;7884
Unit #YH001048D;3543
Unit #YH000870X;1182
Unit #YG000096B;1393
Unit #YE001550M;3962
Unit #YE001366B;4780
Unit #YD001150Z;1542
Unit #YD000684W;7848
Unit #YD000354U;4109
Unit #YD000232B;1541
Unit #YD000129N;6532
Unit #YD000119T;9738
Unit #YD000026G;6113
Unit #YC001250S;7229
Unit #YC001102E;4611
Unit #YC000794K;3603
Unit #YC000654L;5533
Unit #YC000404Q;1893
Unit #YB001370V;7652
Unit #YB000688K;1317
Unit #YB000240T;4488
Unit #YA000308T;1432
Unit #YA000097N;1465
Unit #YA000038W;7916
Unit #YA000020Z;3705
Unit #XZ001024G;2220
Unit #XZ000083K;6429
Unit #XY000238F;5709
Unit #XX000024J;1790
Unit #XW001591E;5937
Unit #XW000848Y;2986
Unit #XW000127V;2502
Unit #XV001151O;1129
Unit #XV000651V;4810
Unit #XV000152R;3993
Unit #XU000703F;2985
Unit #XU000309H;4645
Unit #XT000773O;8416
Unit #XT000750J;5620
