identifier;source volume(M.m3/year)
Unit #GV001308I;0.517
Plant #OU300273S;5444.498
Plant #MX200217V;657.654
Plant #VC300055Q;4650.78
Module #CM101143F;92.491
Plant #EY300227B;1062.598
Unit #ZM000467G;1.438
Plant #SZ200432X;198.781
Facility complex #OC400007T;3709.983
Facility complex #XF400019H;18775.731
Plant #SO200633G;674.131
Plant #HZ200526K;413.367
Plant #NH200676Q;1072.876
Unit #QJ001552C;1.935
Facility complex #WA400034E;1335.345
Unit #QZ001253U;6.015
Facility complex #EF400080V;1570.431
Plant #KZ200536U;436.122
Plant #RL300075V;5804.952
Unit #EF000670W;3.056
Plant #RW200126Q;877.467
Module #EI101166Z;62.839
Unit #CS001608T;6.476
Module #ES100424A;81.117
Facility complex #RH400057F;5603.737
Unit #BE000912S;1.069
Plant #XX300097U;3340.377
Plant #BJ200441F;1082.652
Plant #BZ200552B;905.84
Unit #DD001208X;7.459
Plant #NC300199A;982.675
Module #AO100644Q;86.418
Module #OF101224P;77.93
Plant #KW200769R;575.38
Unit #QW000441F;4.352
Module #GM100215M;51.142
Plant #NP300106X;353.157
Unit #KU000032A;7.636
Unit #II000738C;1.345
Module #FG100821C;76.138
Plant #CM300266V;1092.177
Plant #WX200038D;826.345
Plant #NI200607K;997.627
Plant #EC200524X;1074.465
Plant #HQ200386Q;568.766
Plant #UD300120V;5481.607
Module #TF101123T;94.164
Unit #HL000138E;7.01
Unit #CL001081X;9.202
Module #JN100082H;104.566
Unit #SI000974G;7.574
Module #HU100757L;101.684
Module #BC100567J;89.956
Module #PP100483Z;80.87
Unit #EH000938K;2.578
Plant #HM200504K;1074.988
Plant #FM200094D;522.583
Plant #OA300285V;2017.951
Plant #NL200440T;659.67
Unit #CK001378R;1.651
Module #OS101217V;43.777
Module #CQ100132O;81.971
Plant #UD200342X;481.517
Plant #RY200418V;223.093
Unit #YN001560A;5.037
Plant #NP200119B;611.283
Plant #UC300310W;3036.513
Plant #JS200083M;203.604
Module #DT100088O;86.008
Module #LM101193B;95.743
Plant #MC200518T;270.366
Plant #KM300049J;8454.473
Plant #LG200213I;242.449
Plant #RS300203F;2850.516
Unit #BZ000955T;7.794
Facility complex #NQ400079K;5613.326
Plant #HF300218A;2033.563
Plant #GZ200464H;291.137
Module #QH101141E;89.131
Unit #OO000201I;2.903
Module #SO100369T;100.817
Module #PK100619G;80.241
Unit #DA000867N;0.658
Plant #AJ200714L;474.738
Plant #ST200291V;166.552
Unit #GU001270I;1.761
Module #FZ100463J;69.284
Module #NJ100014B;40.272
Plant #XT300277U;1220.575
Module #TW100520X;93.615
Module #YR101094N;97.162
Plant #JN300086T;1038.183
Plant #UR300208O;8207.302
Module #VU100954Q;94.644
Plant #WO200211T;857.45
Module #YV100865B;71.072
Plant #SF200533M;1003.551
Plant #YC300325Y;3279.019
Module #AJ101149W;68.287
Plant #TP200598K;313.29
Unit #TZ000953T;5.761
Facility complex #BU400072D;8914.758
Plant #VN200073L;934.8
Plant #HN200525I;1057.628
Plant #CY300062Z;557.322
Plant #XE300259C;254.467
Plant #AG200703I;1087.641
Plant #UC300129O;5241.051
Unit #SS001415M;4.532
Unit #TC000785C;4.739
Module #FK100004B;85.21
Module #PP100707Y;77.441
Plant #VI200289F;675.42
Plant #EP300184F;631.761
Unit #UQ001337Q;7.442
Facility complex #GP400021X;4977.539
Plant #DX200017M;878.51
Module #WA100455I;71.89
Unit #DS001429R;4.681
Plant #KR300214W;1233.416
Module #JF100524J;84.77
Module #UI100598K;32.292
Module #KA101138D;94.351
Module #LZ101222Z;92.726
Unit #MU000074M;5.13
Module #EV100113B;95.48
Module #FX100625M;95.069
Unit #OJ000801A;6.989
Plant #GN200426I;885.722
Unit #RL001163S;3.555
Plant #YR200315Y;1066.29
Plant #SQ200191B;1028.86
Module #SG100509Z;82.027
Module #VF100890M;69.515
Module #EU100736A;95.247
Module #PZ101162I;84.571
Plant #GA200735W;523.733
Plant #RL200220U;672.365
Module #RC100818W;71.95
Unit #ZQ001322A;2.115
Module #SD100194J;68.603
Plant #VR200680S;325.196
Plant #IH300221T;994.04
Plant #TD200033T;226.55
Facility complex #IA400009X;8699.028
Module #EB100626T;49.155
Module #IF100678U;91.864
Plant #ZY300168H;3555.972
Plant #JO200781K;937.708
Plant #VQ200185L;666.656
Unit #JE000192Y;5.51
Module #ZC100559P;55.499
Plant #CN300258N;2030.371
Plant #FF200204E;702.097
Plant #RL200523B;387.238
Module #YP101038Y;12.245
Module #BK100667Q;88.353
Unit #BH001283C;7.564
Facility complex #OL400069I;4210.862
Module #ZU100941Y;96.614
Module #OE100698D;90.205
Plant #FH300175P;520.223
Plant #NN300059D;667.446
Plant #JH300118T;1487.618
Plant #JN300145I;4245.296
Module #HY100147A;106.168
Plant #HV200297C;962.671
Module #DO100232Q;95.894
Plant #WQ300189U;1321.783
Plant #NI200420O;874.01
Plant #UC200230Z;232.686
Facility complex #UC400055M;2819.868
Unit #ZU000699N;2.1
Module #IW100994C;96.959
Plant #RW200067U;794.766
Plant #MG200081P;1085.095
Plant #LB200466U;825.264
Plant #LQ200577G;1084.702
Plant #RL200243X;138.6
Module #PB100664N;90.02
Plant #XE200210B;776.979
Plant #EV200116G;1044.478
Plant #QP200588B;805.728
Module #KJ100250X;102.918
Module #PJ100409O;61.798
Module #AK100747T;95.116
Plant #JZ300103H;1024.684
Module #WV101124J;77.98
Module #DO101186J;72.645
Unit #MO000490N;3.944
Plant #LX200255K;222.408
Module #MW101146R;103.229
Plant #ZP200250A;233.172
Module #QW100354U;101.669
Plant #AU200050F;484.99
Module #YI101073C;63.775
Module #KZ100107S;92.859
Facility complex #BT400004O;6355.372
Unit #GB001418E;2.394
Module #ZQ100768S;92.553
Plant #EM300323Z;2143.164
Plant #OX200145K;241.187
Unit #FA001394C;5.409
Plant #QR200673D;170.249
Module #OS101071P;99.828
Facility complex #IW400014Z;1490.48
Plant #RQ200092E;456.854
Plant #BA200011G;340.409
Module #RV101174O;71.791
Facility complex #HW400053Q;4511.787
Module #NU100477P;106.084
Module #FM100695B;66.137
Module #GP100452P;103.683
Plant #EH200346O;235.675
Plant #EF300024B;5965.993
Plant #WQ200280Y;190.663
Plant #AT200223H;500.337
Facility complex #OE400049M;7075.493
Plant #CH300137O;9714.832
Module #LZ100886B;106.198
Module #PQ101157M;65.519
Plant #PJ200002I;500.919
Module #AK100765E;14.989
Unit #YG000096B;1.207
Plant #LD200224N;1057.694
Plant #IB200068P;1024.951
Plant #TM300234Z;3144.925
Module #HF100191C;103.769
Module #IF100660X;102.111
Module #HL101051Z;92.338
Plant #DG200205I;728.489
Module #WO100546Q;29.372
Module #BZ100259M;92.546
Plant #EY300101O;4903.939
Plant #MV200444R;162.989
Module #SC100266I;47.735
Plant #VU200593E;1052.703
Plant #EY200249K;992.279
Module #AN100486V;78.442
Module #GA101020X;102.518
Plant #OY200194G;896.79
Plant #QO200468K;552.567
Module #HY100905D;67.48
Plant #OE200111Z;252.228
Module #XM100105I;78.75
Plant #MK300328O;1130.297
Plant #BX200459N;70.566
Plant #RZ300088N;457.587
Plant #IL200399P;742.299
Plant #KG200122W;333.685
Unit #HK000763M;0.78
Plant #LL200761R;319.206
Unit #ET000008O;7.114
Plant #UM300091T;1042.931
Unit #DU000674E;6.305
Module #ES100763T;98.568
Plant #BS200410K;869.242
Plant #YD200063K;994.202
Plant #ID200613T;829.251
Module #BJ101112U;94.937
Module #OU100726O;70.58
Unit #NR001623M;0.583
Module #VD100573N;70.786
Plant #FD200592F;684.988
Module #WP100172V;73.43
Plant #NR200074H;1072.251
Plant #GP200043I;760.094
Module #XO100291A;95.671
Unit #QF000516F;6.062
Plant #WP200626D;782.036
Plant #YM300071Z;9610.564
Plant #VI300093R;344.261
Unit #CD001491M;1.181
Plant #LG200199S;807.366
Unit #MQ000875I;2.927
Module #LJ100208R;70.091
Module #UP100722L;43.089
Plant #DN200755Q;752.349
Module #JK100658D;91.369
Module #RN100683C;69.28
Module #GJ101196N;95.982
Module #DH100798J;32.076
Module #JP100841B;94.604
Plant #OP200746Q;791.731
Module #KL100788O;89.624
Plant #OB300239F;2584.552
Module #HK100033O;100.549
Module #AQ100199R;62.746
Module #UT100400Z;70.451
Plant #EA200569P;175.984
Module #VM100876Q;57.531
Module #EO100178S;92.603
Plant #OM300253G;1499.421
Plant #AH200488I;873.449
Facility complex #KJ400015F;1675.72
Unit #NK001559W;5.484
Plant #ZY200497R;909.781
Plant #ZB200538R;221.484
Plant #UT300154J;5228.808
Module #WK101052P;47.993
Module #WF100366D;99.746
Module #BU100270E;48.698
Plant #OA200798V;187.556
Unit #BR001216L;3.159
Unit #ZU000743R;2.665
Module #QQ100948E;93.269
Module #LE100962X;104.71
Unit #NR001073V;7.662
Module #WL100466M;90.379
Plant #UH200788E;749.636
Unit #JG000458Y;5.488
Unit #AH000525V;5.382
Plant #XW200621W;694.394
Plant #LI300170I;1529.544
Module #OX100064G;90.717
Unit #LY000947Y;6.031
Plant #JH300149E;270.03
Plant #HQ300326P;1922.788
Plant #RP300244I;270.277
Facility complex #HR400036W;6323.728
Plant #WF200704D;435.983
Plant #CR200808J;95.008
Module #XJ100807N;84.644
Plant #NA200413O;960.411
Unit #CF001324H;1.708
Module #QT100242I;64.067
Module #WU100996S;93.269
Plant #NG200445O;1049.095
Module #KZ100027X;88.802
Plant #BT200615L;901.692
Unit #GW001395J;6.332
Plant #JN200200N;959.713
Unit #YE001366B;4.606
Module #PJ100022X;95.754
Module #JR100611N;54.088
Module #HA100809S;100.174
Unit #YO000328H;2.274
Module #SK100475M;61.198
Plant #QP200209A;625.448
Plant #NI200305X;167.365
Plant #IM300243V;1391.323
Plant #VO300023M;444.215
Plant #FM200451D;732.138
Unit #RS000414T;1.486
Plant #ZT200529M;256.011
Module #CJ100984J;99.526
